loss,accuracy,val_loss,val_accuracy,lr
0.747044563293457,0.713879406452179,0.5048745274543762,0.8045427203178406,0.001
0.5460550785064697,0.7878270745277405,0.422421932220459,0.8320382833480835,0.001
0.47637805342674255,0.8134243488311768,0.38454586267471313,0.8499701023101807,0.001
0.44223472476005554,0.8248009085655212,0.4010468125343323,0.8392109870910645,0.001
0.41923296451568604,0.8287827372550964,0.4121744930744171,0.8218768835067749,0.001
0.394765704870224,0.8373151421546936,0.3652012348175049,0.8667064905166626,0.001
0.3890151381492615,0.8407281041145325,0.39869704842567444,0.8308427929878235,0.001
0.3564135432243347,0.8538111448287964,0.3256559371948242,0.875672459602356,0.001
0.374672532081604,0.8469852209091187,0.342288613319397,0.8637178540229797,0.001
0.3529473543167114,0.8651877045631409,0.3628471791744232,0.858936071395874,0.001
0.35359010100364685,0.8646188974380493,0.31516233086586,0.875672459602356,0.001
0.3558822274208069,0.859499454498291,0.3492327630519867,0.8679019808769226,0.001
0.35502272844314575,0.8549488186836243,0.296857625246048,0.8852360844612122,0.001
0.3424293100833893,0.8606370687484741,0.34351250529289246,0.8553496599197388,0.001
0.3377399146556854,0.8560864329338074,0.27352291345596313,0.889420211315155,0.001
0.3333521783351898,0.8697383403778076,0.2921126186847687,0.8792588114738464,0.001
0.3352777659893036,0.8657565712928772,0.36936551332473755,0.8517633080482483,0.001
0.3199963867664337,0.8668941855430603,0.30107513070106506,0.8828451633453369,0.001
0.3164428174495697,0.8708760142326355,0.27395251393318176,0.8906156420707703,0.001
0.3125360310077667,0.8771331310272217,0.2726265490055084,0.8840406537055969,0.001
0.33642813563346863,0.8748577833175659,0.2844398021697998,0.8870292901992798,0.001
0.30094245076179504,0.8788396120071411,0.27963879704475403,0.8918111324310303,0.001
0.30191200971603394,0.8759954571723938,0.2551477253437042,0.9001793265342712,0.001
0.2931573987007141,0.8748577833175659,0.26656708121299744,0.8864315748214722,0.001
0.3132561147212982,0.8674630522727966,0.26229649782180786,0.8912134170532227,0.001
0.2921701669692993,0.8868032097816467,0.302429735660553,0.8828451633453369,0.001
0.3003111183643341,0.8759954571723938,0.27783530950546265,0.8840406537055969,0.001
0.29723286628723145,0.8742889761924744,0.27530503273010254,0.8840406537055969,0.001
0.2699998915195465,0.8924914598464966,0.24389560520648956,0.8983861207962036,0.00020000001
0.2590334713459015,0.8924914598464966,0.24277423322200775,0.8989838361740112,0.00020000001
